speed_p	speed_r	speed_d	distance_d_p	distance_d_r	distance_d1_p	distance_d2_r	angle_d	angle_d1_p	angle_d2_r	possTimePre	possessionTime	reward	flag
2.24	2.57	3.4	1.44	13.5	1.44	3.35	2.5	2.5	1.32	2.6	7.16	0	1
3	0.9	5.64	10.21	5	1.75	5	0.5	0.71	1.33	1.12	9.4	0	0
6.21	1.8	0.79	20.25	16.73	2.97	3.74	0.6	2.01	1.54	0.24	3.96	0	0
1.75	6.13	5.06	19.75	1.14	3.09	1.14	0.02	1.95	0.32	1.8	9.68	0	0
1.27	1.25	0.71	2.4	16.34	2.4	12.66	1.08	1.08	0.44	0	1.6	0	1
0.56	1.58	3.58	2.62	7.57	2.62	7.57	0.86	0.86	0.27	1	3.2	0	1
2.51	2.92	4.32	2.25	15.35	2.25	14.46	2.98	2.98	0.83	1.16	5.56	0	1
1.5	1.8	0.79	45.5	2.18	11.46	2.18	0.02	0.42	2.73	0	10.8	0	0
3.89	2.3	2.02	6.45	4.02	3.22	4.02	0.05	1.52	0.07	0.4	13	0	1
4.75	0.56	0.5	25.53	6.4	0.76	6.4	0.11	3.09	0.44	0.76	17.36	0	0
4.14	6.8	6.49	10.04	3.3	1.71	3.3	0.29	0.87	2.08	0.96	5.32	0	0
2.51	2.66	2.93	11.59	11.59	2.05	8.23	0.31	0.18	2.14	0.6	5.04	0	0
1.35	1.06	2.57	1.12	10.87	1.12	6.04	2.92	2.92	0.83	0.16	5.04	0	1
3.58	1.9	1.82	9.9	8.06	0.86	7.02	0.06	1.68	1.15	0.44	7	0	1
1.27	3.2	0.75	31.57	23.6	5.6	5.13	0.82	1.63	0.15	1.16	14.2	0	0
3.01	2.02	7.57	6.73	17.94	6.73	14.44	0.33	0.33	1.81	0	7.88	0	1
3.76	2.5	5.02	3.63	23.04	3.63	17.48	0.17	0.17	0.86	2.36	11.8	0	1
4.04	0.56	5.9	4.88	12.67	4.88	11.69	1.26	1.26	1.9	2.2	14.64	0	1
1.77	1.5	0.79	2.55	7.53	1.17	7.53	0.67	2.72	0.21	1.76	17	0	1
0.75	0.25	2.5	7.84	8.4	7.84	5.92	0.46	0.46	2.76	1.48	18.88	0	1
1.58	3.91	6.91	0.61	6.04	0.61	4.12	0.66	0.66	0.73	0.48	19.84	0	1
2.5	2.61	0.56	1.94	49.6	1.94	4.04	0.05	0.05	0.77	7.68	28.92	0	0
3.5	2.36	7.12	2.12	19.2	2.12	8.49	0.49	0.49	1.94	2.2	3.2	0	1
3.72	1.03	5.51	2.64	8.05	2.64	7.18	0.68	0.68	0.5	2.48	6.04	0	1
0.56	2.24	3.69	4.36	16.31	3.79	15.68	0.66	2.07	1.38	0.56	8.24	0	1
2.8	0.56	4.16	16.12	23.78	9.76	23.78	1.19	2.13	0.68	1.52	10.48	0	1
2.57	3.16	3.35	26.54	11.1	19.28	11.1	0.42	0.93	1.79	0	16.44	0	1
2.37	0.5	0.5	20.93	14.67	7.91	11.79	0.04	0.47	1.16	4.24	23.72	0	1
3.4	1.46	0.9	2.75	8.56	2.75	7.08	0.44	0.44	0.4	1.24	25.28	0	1
1.27	4.93	4.93	13.68	29.54	10.28	13.22	0.28	1.75	0.34	2.08	29.56	0	1
3.26	10.33	3.4	1.8	0.8	1.8	0.8	0.04	0.04	3.04	7.48	38.76	0	1
4.42	1.03	5.01	2.55	10.04	2.55	7.62	2.39	2.39	2.45	4.56	43.8	0	1
6.56	0.71	4.56	7.32	6.13	3.12	6.13	0.21	1.05	0.25	2.68	47	0	1
2.3	2	5.84	6.11	12.93	3.18	12.93	0.3	2.96	0.14	1.6	50.08	0	1
3.61	3.91	5.51	7.47	18.61	7.47	18.61	2.36	2.36	0.29	0.96	52.4	0	1
0.9	3.54	4.7	2.65	25.76	2.65	25.76	1.4	1.4	0.1	4.36	57.56	0	1
5.53	3.5	2.12	17.46	8.46	17.46	8.46	0.29	0.29	0.64	2.48	68.88	0	1
2.93	1.82	1.6	3.18	20.16	3.18	11.03	0.24	0.24	1.9	0.92	71.8	0	1
7.4	3.25	6.17	8.63	23.8	2.8	8.84	0.04	2.42	0.5	1.4	74.88	0	0
5.76	5.51	3.13	7.38	12.22	3.54	2.47	0.7	1.69	1.65	2.52	21.56	0	1
1.25	0.56	1.25	7.14	11.83	4.59	11.83	0.38	2.26	0.23	2.16	24.64	0	1
3.91	0.56	3.13	11.7	5.19	11.7	5.19	0.45	0.45	1.37	0	27.88	0	1
0.75	1.58	0.35	11.82	10.37	3.66	10.37	0.01	0.03	0.02	0.24	29.96	0	0
1.27	4.96	2.51	3.67	11.35	3.67	4.02	1.08	1.08	1.28	0	0.64	0	1
5.81	6.73	6.71	5.16	5.52	5.16	3.58	0.92	0.92	2.21	0.56	1.8	0	1
7.5	4.45	6.39	1.39	18.68	1.39	11.86	0.09	0.09	0.36	1.6	9.16	0	0
3.02	2.57	5.59	2.56	41.68	2.56	15.2	0.7	0.7	1.06	3.72	7.44	0	1
2	2.37	3.13	12.3	15.24	3.11	15.24	0	1.81	0	2.6	11.92	0	1
0.56	2.26	3.02	29.36	9	14.42	6.28	0.09	0.34	1.67	0	14.72	0	1
3.76	7	3.35	18.27	11.92	3.96	6.72	0.05	1.35	0.61	0.24	16.68	0	0
3.91	5.75	4.8	2.28	27.91	2.28	5.85	0.09	0.09	1.58	2.08	4.6	0	1
4.27	0.56	1.46	8.94	27.97	4.7	6.68	0.03	2.42	1.51	2.48	8.2	0	0
3.76	0.56	5.81	1.03	10.04	1.03	7.32	2.61	2.61	1.49	1.12	1.56	0	1
0.71	2.69	3.2	4.5	15.05	2.28	13.73	2.22	2.09	0.34	0.92	3.2	0	1
1.58	2.15	3.55	18.53	9.82	17.5	9.82	0.56	1.37	1.65	1	5.36	0	1
0.25	1.52	4.74	3.98	19.02	3.98	17.87	1.96	1.96	1.19	0.32	6.36	0	1
3.13	1.77	5.3	6.1	20.9	6.1	10.14	0.26	0.26	0.8	4.04	11.76	0	1
1.46	1.46	5.96	19.41	13.54	4.43	6.24	0.28	0.77	1.67	2.8	16	0	0
2.14	0.75	1.6	10.78	14.52	4.84	12.51	0.3	3.1	3.13	1.4	4	0	1
2.15	3.69	2.36	4.74	14.01	4.74	14.01	2.25	2.25	0.27	0.96	5.92	0	1
3.58	3	6.4	12.59	8.75	12.59	8.75	0.57	0.57	0.88	0.88	10.2	0	1
2.24	1.27	1.25	13.83	16.21	5.33	11.21	0.35	1.64	1.83	1.72	13.96	0	1
2.36	5.55	2.61	4.81	13.06	4.81	13.06	1.59	1.59	0.38	0.32	15.64	0	1
2.51	4.27	3.69	9.18	10.38	9.18	7.39	0.21	0.21	2.84	1.36	18.8	0	1
0.35	1.75	2.14	8.49	8.59	4.12	8.59	0.6	1.48	0.59	0.92	20.48	0	1
4.14	2.3	5.26	4.57	29.27	4.57	20.4	1.48	1.48	0.56	2.88	24.96	0	1
0.9	1.9	3.2	8.8	15.51	5.27	11.18	3.01	0.86	0.79	2.88	29.04	1	1
2.85	3.64	3.4	0.36	9.28	0.36	9.28	0.06	0.06	0	0.4	24.52	0	1
2.26	4.12	4.51	1.84	26.62	1.84	2.44	0.82	0.82	1.6	1.96	29.4	0	1
2.3	4.6	2.06	1.33	21.29	1.33	2.19	0.24	0.24	3.1	3.76	55.16	0	0
6.17	4.45	2.85	17.35	1.88	3.26	1.88	0.02	0.48	0.15	0.04	3.28	0	1
3.69	0.79	4.28	3.71	14.54	3.71	12.46	0.97	0.97	1.33	1.84	2.56	0	1
0.25	1.41	3.25	28.32	11.09	2.98	1.7	0.19	0.44	1.47	0.68	5.32	0	0
1.27	3.75	0.25	5.33	8.12	5.33	1.43	0.33	0.33	2.05	0.56	18.28	0	1
3.91	2.36	1.68	1.3	5.77	1.3	3.54	0.07	0.07	2	2.36	7.2	0	0
1.58	3.58	3.76	37.5	25.25	2.8	2.97	0.04	0.82	2.85	0.88	2.24	0	0
3.26	4.53	3.88	7.5	13.97	7.5	10.87	1.29	1.29	1.41	2.68	3.96	0	1
2.85	1.6	2.93	12.49	9.21	1.84	9.21	0.21	1.21	0.29	2.88	8.12	0	1
3.36	4.27	6.01	4.9	8.76	4.9	8.76	1.26	1.26	0.56	0.92	10.84	0	1
2.06	9.78	6.19	3.71	20.97	3.71	6.33	0.11	0.11	2.18	1.52	16.2	0	0
2.06	0.75	4.26	10.06	7.47	5.13	7.47	0.63	1.73	0.92	0.32	1.2	0	1
1.82	1.5	3.09	9.08	7.22	2.7	7.22	0.12	1.66	0.15	3.6	6.48	1	0
4.51	6.5	4.47	0.6	7.09	0.6	6.25	0.8	0.8	1.46	1.88	2.36	1	1
1.12	5.94	1.68	3.54	12.08	2.53	3.12	1.6	2.51	1.79	1.44	5.64	1	1
5.02	5.85	5.67	12.03	9.82	1.61	6.71	0.89	0.07	1.28	0	7.8	1	0
3.82	1.8	1.41	2.56	17.47	2.56	17.47	2.42	2.42	0.1	7.12	61.32	0	1
1.03	2.83	2.61	14.15	9.24	14.15	9.24	0.71	0.71	1.49	1.24	63.36	0	1
2	3.35	3.5	15.12	21.85	8.63	21.85	0.76	1.38	0.49	5.64	72.68	0	1
4.51	5.27	7.2	5.02	23.55	5.02	11.04	0.8	0.8	0.94	0	74.12	0	1
2.3	10.26	4.28	10.83	5.66	3.61	5.66	0.41	1.54	0.88	0.52	75.88	0	1
7.94	4.78	3	12.84	5.14	8.21	5.14	0.02	1.82	0.06	0	78.84	0	1
4.5	5.15	6.17	3.47	9.94	3.47	3.05	0.43	0.43	1.42	0.16	80.8	0	1
7.78	4.61	3.78	4.81	25.47	3.72	5.8	0.5	0.95	2.31	1.28	83.52	0	1
7.49	5.64	8.39	1.75	11.2	1.3	5.25	0.47	2.07	1.51	6.56	90.88	0	1
5.06	3.13	4.03	1.39	26.65	1.39	18.63	1.17	1.17	0.25	6.32	112	0	1
0.25	3.82	2.66	8.99	20	5.59	3.58	0.09	0.85	0.94	2.16	119.88	0	1
8.7	6.25	5.64	4.8	2.4	1.6	2.4	2.89	2.89	0.53	0	0.44	0	1
9.78	6.82	5	4.8	7.14	2.28	7.14	0.92	2.73	0.56	2.64	4.28	0	1
2.3	2.93	4.37	10.83	13.53	6.77	3.04	0.16	0.43	1.36	0	36.12	0	1
1.8	4.45	1.35	9.82	8.11	2.66	2.82	0.06	1.34	1.17	3.16	40.36	0	0
0.25	0.35	0.9	6.73	10.94	6.73	9.02	0.84	0.84	0.89	1.44	10.48	0	1
1.25	1.77	2.8	10.72	8.01	10.72	8.01	0.83	0.83	1.43	0	11.16	0	1
0.56	1.25	1.46	2.59	17.42	2.59	16.52	2.26	2.26	0.38	4.56	16.24	0	1
1.25	3.13	0.56	17.5	2.72	16.73	2.72	0.14	0.48	2.01	0	20.12	0	1
2.36	0.75	2.8	8.27	5.64	1.4	5.64	0.26	2.94	0.39	1.08	23.12	0	1
0.9	1.46	2.3	34.44	16.37	3.18	5.51	0	1.21	1.74	0	31.6	0	0
1.82	2.8	0.25	21.2	5.51	2.16	1.58	0.26	3.08	2.52	0.2	9.4	0	0
2.66	2.37	0.25	21.77	8.76	1.04	8.76	0.11	3.04	2.86	0.24	1.88	0	0
3.5	2.61	3.05	4.18	12.02	1.8	12.02	0.52	2.87	0.17	1.08	2.2	0	1
2.06	5.4	4.53	24.15	4.14	4.67	4.14	0.06	0.13	2.79	3.24	8.92	0	0
1.12	1.82	3.5	0.91	10.2	0.91	7.49	0.78	0.78	1.88	0.96	1.36	0	1
0.9	1.95	2.57	2.14	11.36	2.14	11.36	0.8	0.8	0.14	3.88	21.44	0	1
2.46	1.03	3.61	6.93	9.68	6.93	5.86	0.37	0.37	1.21	0.16	22.84	0	1
2.61	1.6	3.04	1.97	19.22	1.97	19.22	1.19	1.19	0.1	0.6	25.16	0	1
2.76	2.66	4.47	12.19	22.64	12.19	18.7	1.79	1.79	1.39	2.24	28.84	0	1
1.27	3.54	6.91	6.8	6.4	6.8	2.46	0.06	0.06	0.87	2.56	33.44	0	1
4.45	2.3	2.26	6.1	10.96	3.16	6.08	2.48	1.27	1.76	0	35.32	0	1
5.03	7.95	3.26	0.78	9.65	0.78	6.22	0.55	0.55	0.95	0	37.2	0	1
0.35	2.25	3.51	1.86	9.96	1.86	9.96	1.09	1.09	0.17	2.28	40.12	0	1
1.35	1.25	1.9	9.94	17.99	9.94	17.99	1.07	1.07	0.51	1.68	42.96	0	1
0.25	1.27	2.14	11.23	13.54	11.23	13.54	0.78	0.78	0.63	2.64	46.48	0	1
0.9	1	0.25	21.47	6.85	2.2	6.85	0.26	1.43	0.95	1.96	60.56	0	0
3.58	4.93	2.83	26.76	10.43	2.28	6.26	0.39	0.14	3.04	0.84	2.68	1	0
2.85	2.66	1.35	14.48	13.18	14.48	10.3	0.35	0.35	2.83	12.76	16.72	0	1
2.5	2.37	2.5	5.5	7.93	2.25	7.93	0.33	2.07	0.23	1.96	19.36	0	1
0.9	0.79	1.58	8.78	16.79	8.78	16.79	1.6	1.6	0.55	0.04	29.48	0	1
3.69	1.6	3.75	20.8	16.43	13.67	16.43	0.68	1.51	0.91	2.28	33.44	0	1
4.56	2.02	3.26	9.66	19.73	9.66	15.84	0.98	0.98	2.05	1.32	36.2	0	1
0.75	1.35	3.81	11.54	14.27	11.54	14.27	0.93	0.93	0.7	1	39.92	0	1
0.79	3.35	1.6	15.75	11.31	15.75	11.31	0.8	0.8	1.59	0.32	41.32	0	1
1	2.36	2	7.95	23.46	7.95	12.34	0.93	0.93	0.81	2.36	45.12	0	1
2.7	2.02	4.01	0.64	13.26	0.64	8.6	1.86	1.86	1.12	3.36	48.96	0	1
1.8	2.02	0.79	1.53	25.42	1.53	4.46	1.35	1.35	1.86	2.84	55.16	0	1
1.41	1.41	3.48	1.03	7.71	1.03	7.71	2.01	2.01	0.12	6.88	62.68	0	1
3.88	1.03	1.03	7.54	0.86	3.05	0.86	0.11	1.87	1.51	2.28	64.96	0	1
5.55	3.54	1.27	2.24	4	2.2	2.82	1.4	2.16	1.34	2.56	68.16	0	1
1.27	2.3	3.4	10.44	6.02	6.84	6.02	0.61	1.38	1.5	1.08	81.52	0	1
2.3	0.25	1.75	3.7	26.69	2.33	15.98	0.46	1.9	0.98	0	85.32	0	1
1.12	2.61	5.71	3.24	14.68	3.24	3.31	0.91	0.91	1.69	0	86.8	0	1
0.25	0.25	3.58	1.91	7.49	1.91	5.9	1.81	1.81	1.24	0	5.88	0	1
0.56	0.71	0.5	29.96	9.12	2.42	3.18	0.05	1.15	0.19	0.92	11.6	0	0
2.57	1.6	1.25	1.89	12.74	1.89	6.61	2.6	2.6	0.82	1.4	1.64	0	1
4.27	1	3.51	5.71	21.57	5.71	12.88	1.3	1.3	0.79	5.2	7.8	0	1
0.25	0.25	2.85	1.2	16.11	1.2	15.32	1.8	1.8	0.9	1.84	10.72	0	1
2.7	3.36	2.26	2	23.58	2	7.89	0.1	0.1	0.74	2.12	14.12	0	1
2.25	0.35	1.58	9.61	17.76	9.61	17.76	1.51	1.51	0.57	0	0.52	0	1
2.69	0.56	2.69	12.54	22.21	12.54	19.93	1.06	1.06	1.32	1.8	3.6	0	1
0.25	1.35	2.66	5.65	17.54	5.65	2.81	0.4	0.4	1.01	1.72	14.92	0	1
1.82	0.25	0.79	19.24	4.64	3.49	4.62	0.22	1.76	1.04	0	19.96	0	0
2.02	2.93	5.71	1.2	10.83	1.2	8.39	2.04	2.04	0.56	1.64	2.2	0	1
2.7	1.95	1.03	3.42	4.32	3.42	4.32	2.41	2.41	0.56	4.32	6.56	0	1
4.32	1.12	4.78	2.75	12.82	2.75	12.37	1.88	1.88	1.06	2.92	10.28	0	1
0.35	1.25	3.05	5.3	10.97	5.3	5.95	0.57	0.57	1.02	0.92	12.4	0	1
4.85	1.52	3.4	3.1	11.05	3.1	2.95	0.88	0.88	1.15	1.16	14.2	0	1
2.02	4.12	0.25	1.3	8.2	1.3	8.2	1.98	1.98	0.15	0.44	14.92	0	1
8.51	3.4	6.33	4.68	3.71	1.46	3.71	0.48	3.05	0.62	2.52	18	0	1
1.27	5.22	5.7	3.98	9.98	3.98	2.6	0.1	0.1	2.31	0.92	20.88	0	0
4.27	4.96	7.63	2.98	11.92	2.98	5.36	1.48	1.48	2.75	2.72	5.24	0	1
7.04	6.95	3.69	8.16	4	2.65	4	0.49	1.02	1.26	1.24	9.24	0	0
0.75	0.25	3.18	5.34	17.81	5.34	13.21	1.68	1.68	0.74	0	5.48	0	1
1.12	1.25	0.5	11.17	14.1	1.98	1.63	0.39	1.14	2.04	2.32	23.76	0	0
2.14	1.95	3.76	2.53	8.06	2.53	8.06	0.28	0.28	0.09	0.48	0.84	0	1
1.52	0.5	3.91	9.41	9.58	9.41	8.54	0.31	0.31	2.24	0	2.64	0	1
5.41	1.12	1.82	1.53	3.1	0.63	3.1	0.11	0.01	0.05	8.64	11.56	0	0
9.52	3.18	2.85	2.34	6.92	2.34	5.55	0.61	0.61	0.5	0.68	1.88	0	0
0.75	0.75	1.58	3.35	6.45	3.35	6.45	2.36	2.36	0.37	2.44	3.72	0	1
1.68	0.9	4.26	5.66	2.57	2.67	2.25	0.37	0.64	0.79	0.56	8.28	0	0
4.59	6.5	5.3	17.79	2.42	1.21	2.42	0.02	1.26	0.16	3	5.48	0	1
3.51	0.9	2.61	13.83	21.85	13.83	21.85	1.5	1.5	0.68	2.12	3.36	0	1
1.25	2.93	4.07	10.95	4.88	10.95	4.88	0.38	0.38	2.15	2.64	6.36	0	1
1.8	0.35	2.02	5.66	10.5	5.66	10.5	1.8	1.8	2.59	1.08	7.96	0	1
1.77	5.8	1.77	10.33	7.4	10.33	5.15	0.38	0.38	2.95	0.44	10.6	0	1
2.26	1.35	5.15	6.4	11.04	5.22	11.04	1.01	1.9	0.51	0.64	12.76	0	1
0.5	6.52	1.52	14.04	4.43	0.76	4.43	0.18	2.23	0.62	2.08	15.48	0	1
1.8	4.03	1.77	1.97	10.97	1.97	2.38	1.7	1.7	2.23	0.64	17.6	0	1
